,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,印刷～検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,回収かんばん数,社内LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程
346,3548255A010    ,2023,38,4.0,0.0,0.0,0.57,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,300.0,1.0,2.83,0.18000000000000016,2.215,0.13999999999999968,2.51,1.6633333333333333,サトープレス工業（株）,8,4.4035087719298245,8.650394313807471,0.0,0.38473027418272854,99.905,450.0,0.0,0.39058171745152337,0.0,4.TA・カバー・メイン
497,3548255A010    ,2023,39,3.0,0.0,0.0,0.57,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,300.0,1.0,2.825,0.17499999999999993,1.4700000000000002,0.14500000000000046,1.695,1.6400000000000001,サトープレス工業（株）,8,2.9736842105263164,6.580101772240742,0.0,0.36135427898883704,99.955,464.0,-0.25,-0.32470119521912344,0.0,4.TA・カバー・メイン
204,35482TFA010    ,2023,37,1.0,0.0,0.0,0.66,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,1000.0,1.0,1.8299999999999998,0.5100000000000002,7.22,5.890000000000001,13.620000000000001,0.372,サトープレス工業（株）,1,20.636363636363637,9.669683607952345,0.0,0.09940077625739406,99.44,462.0,0.0,0.0,0.0,4.TA・カバー・メイン
347,35482TFA010    ,2023,38,1.0,0.0,0.0,0.66,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,1000.0,1.0,2.82,0.20500000000000007,0.7850000000000001,6.105,7.095000000000001,0.369,サトープレス工業（株）,2,10.75,9.748298921838137,0.0,0.0986606917467573,99.905,450.0,0.0,-0.4790748898678414,1.0,4.TA・カバー・メイン
498,35482TFA010    ,2023,39,1.0,0.0,0.0,0.66,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,1000.0,1.0,3.83,0.16999999999999993,1.1499999999999995,6.190000000000001,7.510000000000001,0.42,サトープレス工業（株）,1,11.378787878787879,8.564576909900651,0.0,0.11104230300899533,99.955,464.0,0.0,0.05849189570119795,-0.5,4.TA・カバー・メイン
70,35501ECB010    ,2023,36,5.0,0.0,0.0,0.6,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.38,100.0,1.0,1.35,0.2949999999999997,0.72,0.2649999999999999,1.87,4.140000000000001,大橋鉄工（株）,16,3.116666666666667,5.0744935655421575,0.0,0.5307014185401373,99.89500000000001,480.0,0.0,0.0,0.0,4.TA・カバー・メイン
205,35501ECB010    ,2023,37,4.0,0.0,0.0,0.6,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.38,100.0,1.0,1.33,0.2599999999999998,0.8300000000000001,0.29000000000000004,2.04,3.72,大橋鉄工（株）,21,3.4000000000000004,4.51793620674076,0.0,0.4748374040153859,99.44,462.0,-0.19999999999999996,0.09090909090909083,0.3125,4.TA・カバー・メイン
348,35501ECB010    ,2023,38,4.0,0.0,0.0,0.6,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.38,100.0,1.0,1.3199999999999998,0.27,1.2100000000000004,0.2999999999999998,1.81,3.78,大橋鉄工（株）,19,3.016666666666667,4.446222933617892,0.0,0.4753290592006112,99.905,450.0,0.0,-0.11274509803921573,-0.09523809523809523,4.TA・カバー・メイン
499,35501ECB010    ,2023,39,4.5,0.0,0.0,0.6,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.38,100.0,1.0,1.3399999999999999,0.29499999999999993,1.0950000000000002,0.2549999999999999,2.31,3.87,大橋鉄工（株）,22,3.85,4.885675200312683,0.0,0.502839635974807,99.955,464.0,0.125,0.2762430939226519,0.1578947368421053,4.TA・カバー・メイン
71,35505ECB010    ,2023,36,14.5,0.0,1.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,2.0,2.34,24.0,1.0,1.1900000000000002,0.1499999999999999,0.7649999999999999,0.18999999999999984,1.2050000000000003,17.125,中庸スプリング（株）,82,1.4876543209876545,5.070151667467983,0.1,1.0007659885329292,99.89500000000001,480.0,-0.19444444444444442,0.6971830985915497,81.0,4.TA・カバー・メイン
