,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX
51,33490ECE010    ,2023,39,119.19166666666666,5.325,4.841666666666667,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.364963503649635,1.307189781021898,112.32755474452554,マレリ（株）,548,1.6138145444714789,4.313447143861338,0.23,1.8033767657235638
52,34989ECB010    ,2023,36,3.1083333333333334,0.008333333333333333,0.025,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,15.04,0.468,（株）槌屋,1,18.5679012345679,19.94515883404772,0.0,0.15209670857868632
53,34989ECB010    ,2023,37,2.191666666666667,0.016666666666666666,0.016666666666666666,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,8.055,0.234,（株）槌屋,2,9.944444444444443,28.126417015305904,0.0,0.07724720243767247
54,34989ECB010    ,2023,38,1.525,0.016666666666666666,0.016666666666666666,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,7.23,0.486,（株）槌屋,2,8.925925925925926,9.423003250163744,0.0,0.15352395488125878
55,34989ECB020    ,2023,36,7.208333333333333,0.05,0.075,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,5.42125,1.81625,（株）槌屋,8,6.6929012345679,11.91831886945445,0.0,0.5213840501542544
56,34989ECB020    ,2023,37,5.8,0.06666666666666667,0.075,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,6.7829999999999995,1.5614000000000001,（株）槌屋,10,8.374074074074073,11.15500026733535,0.0,0.45332083930098815
57,34989ECB020    ,2023,38,6.033333333333333,0.058333333333333334,0.075,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,5.582,1.6280000000000001,（株）槌屋,10,6.891358024691358,11.129065183119236,0.0,0.46994194767660485
58,34989ECB020    ,2023,39,5.875,0.06666666666666667,0.075,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,1.87,1.756,（株）槌屋,1,2.308641975308642,10.047063008338634,0.0,0.494076838315274
59,34989ECB030    ,2023,36,3.683333333333333,0.025,0.03333333333333333,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,7.903333333333333,0.6076666666666667,（株）槌屋,3,9.879166666666666,18.202514088416446,0.0,0.1955001620996008
60,34989ECB030    ,2023,37,3.55,0.03333333333333333,0.03333333333333333,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,7.286,0.7078,（株）槌屋,5,9.107499999999998,15.061685024951482,0.0,0.22461424050462542
61,34989ECB030    ,2023,38,3.25,0.016666666666666666,0.03333333333333333,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,5.4425,0.8787499999999999,（株）槌屋,4,6.803125,11.106412244392331,0.0,0.2701781570574365
62,34989ECC010    ,2023,36,3.4916666666666667,0.008333333333333333,0.016666666666666666,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,22.700000000000003,0.3,（株）槌屋,1,29.102564102564106,34.951618284951614,0.0,0.09900769726357837
63,34989ECC010    ,2023,37,2.716666666666667,0.008333333333333333,0.008333333333333333,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,16.28,0.0,（株）槌屋,1,20.871794871794872,inf,0.0,0.0
64,34989ECE020    ,2023,36,2.3,0.008333333333333333,0.025,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,9.4,0.494,（株）槌屋,1,11.463414634146343,13.981592928961348,0.0,0.1586174852651579
65,34989ECE020    ,2023,37,1.7166666666666666,0.025,0.016666666666666666,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,9.323333333333332,0.3,（株）槌屋,3,11.369918699186991,17.18385051718385,0.0,0.09810168187795547
