シリアル,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,AVAILABLE_RATE,KAKO_CNT,先週からの順立装置在庫量の増加率,先週からの社内LTの増加率,先週からかんばん増加数,使用工程
165,34989ECB020    ,2023,37,5.8,0.066666667,0.075,0.81,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,6.783,1.5614,（株）槌屋,10,8.374074074,11.15500027,0,0.453320839,90.551,445.7,-0.195375723,0.251187457,0.25,8.ファイナル後半
320,34989ECB020    ,2023,38,6.033333333,0.058333333,0.075,0.81,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,5.582,1.628,（株）槌屋,10,6.891358025,11.12906518,0,0.469941948,94.16,430.5,0.040229885,-0.177060298,0,8.ファイナル後半
463,34989ECB020    ,2023,39,5.875,0.066666667,0.075,0.81,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,1.87,1.756,（株）槌屋,1,2.308641975,10.04706301,0,0.494076838,98.06,454.5,-0.026243094,-0.664994626,-0.9,8.ファイナル後半
15,34989ECB030    ,2023,36,3.683333333,0.025,0.033333333,0.8,1,ＴＰ１３１フタナシ,1,1,2.33,1000,1,7.903333333,0.607666667,（株）槌屋,3,9.879166667,18.20251409,0,0.195500162,95.285,469.4,0,0,0,8.ファイナル後半
166,34989ECB030    ,2023,37,3.55,0.033333333,0.033333333,0.8,1,ＴＰ１３１フタナシ,1,1,2.33,1000,1,7.286,0.7078,（株）槌屋,5,9.1075,15.06168502,0,0.224614241,90.551,445.7,-0.036199095,-0.078110502,0.666666667,8.ファイナル後半
321,34989ECB030    ,2023,38,3.25,0.016666667,0.033333333,0.8,1,ＴＰ１３１フタナシ,1,1,2.33,1000,1,5.4425,0.87875,（株）槌屋,4,6.803125,11.10641224,0,0.270178157,94.16,430.5,-0.084507042,-0.253019489,-0.2,8.ファイナル後半
16,34989ECC010    ,2023,36,3.491666667,0.008333333,0.016666667,0.78,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,22.7,0.3,（株）槌屋,1,29.1025641,34.95161828,0,0.099007697,95.285,469.4,0,0,0,7.ファイナル前半
167,34989ECC010    ,2023,37,2.716666667,0.008333333,0.008333333,0.78,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,16.28,0,（株）槌屋,1,20.87179487,inf,0,0,90.551,445.7,-0.221957041,-0.282819383,0,7.ファイナル前半
17,34989ECE020    ,2023,36,2.3,0.008333333,0.025,0.82,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,9.4,0.494,（株）槌屋,1,11.46341463,13.98159293,0,0.158617485,95.285,469.4,0,0,0,7.ファイナル前半
168,34989ECE020    ,2023,37,1.716666667,0.025,0.016666667,0.82,1,ＴＰ１３１フタナシ,1,1,2.33,500,1,9.323333333,0.3,（株）槌屋,3,11.3699187,17.18385052,0,0.098101682,90.551,445.7,-0.253623188,-0.008156028,2,7.ファイナル前半
